Unnamed: 0,번호,참고문헌양식
,18.0,"Cui  Yaokui,Chen  Xi,Gao  Jinyu,Yan  Binyan,Tang  Guoqiang,Hong  Yang. ""Global water cycle and remote sensing big data: overview, challenge, and opportunities"" Big earth data : 282-297.
"
,19.0,"Chakraborty  Chinmay,Khan  Muhammad Khurram,Ahmad  Ishfaq. ""Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation"" Big Data : 81-82.
"
,20.0," ""Scalable Data Quality for Big Data: The Pythia Framework for Handling Missing Values"" Big Data : 159-172.
"
,21.0,"Castle  David,Hebert  Paul D N ,Clare  Elizabeth L ,Hogg  Ian D ,Tremblay  Crystal. ""Capturing the value of biosurveillance ""big data"" through natural capital accounting"" Big earth data : 352-367.
"
,22.0,"Assunção  Renato,Pelechrinis  Konstantinos. ""Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier"" Big Data : 1-2.
"
,23.0,"Assunção  Renato,Pelechrinis  Konstantinos. ""Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier"" Big Data : 237-238.
"
,24.0,"Xia  F ,Wang  W ,Bekele  T  M ,Liu  H . ""Big Scholarly Data: A Survey"" IEEE Transactions on Big Data : 18-35.
"
,25.0,"Chen  Bin,Xu  Bing,Gong  Peng. ""Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities"" Big earth data : 410-441.
"
,26.0," ""Diversity in Big Data: A Review"" Big Data : 73-84.
"
,27.0,"Zhao  JunJing,Li  Qi. ""Big Data–Artificial Intelligence Fusion Technology in Education in the Context of the New Crown Epidemic"" Big Data : 262-276.
"
,28.0," ""The Role of Teamwork in the Analysis of Big Data: A Study of Visual Analytics and Box Office Prediction"" Big Data : 53-66.
"
,29.0,"Salminen  Joni,Chhirang  Kamal,Jung  Soon-Gyo,Thirumuruganathan  Saravanan,Guan  Kathleen W ,Jansen  Bernard J . ""Big Data, Small Personas: How Algorithms Shape the Demographic Representation of Data-Driven User Segments"" Big Data : 313-336.
"
,30.0," ""Scientific Training in the Era of Big Data: A New Pedagogy for Graduate Education"" Big Data : 12-18.
"
,31.0,"Wang  Ju,Liu  Hongzhe,Bao  Hong,Montoya  Cesar Flores,Hinton  James. ""A big data-based RF localisation method for unmanned search and rescue"" International journal of big data intelligence : 124-132.
"
,32.0,"Wang  J ,Qi  G ,Sebe  N ,Aggarwal  C  C . ""Guest Editorial: Big Media Data: Understanding, Search, and Mining"" IEEE Transactions on Big Data : 31.
"
,33.0,"Wang  J ,Qi  G ,Sebe  N ,Aggarwal  C . ""Guest Editorial: Big Media Data: Understanding, Search, and Mining"" IEEE Transactions on Big Data : 36.
"
,34.0,"Wang  J ,Qi  G ,Sebe  N ,Aggarwal  C  C . ""Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)"" IEEE Transactions on Big Data : 151.
"
,35.0,"Esteves  Rui Máximo,Hacker  Thomas,Rong  Chunming. ""A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means"" International journal of big data intelligence : 50-64.
"
,36.0,"Victor  Nancy,Lopez  Daphne,Abawajy  Jemal H . ""Privacy models for big data: a survey"" International journal of big data intelligence : 61-75.
"
,37.0,"Esteves  Rui Máximo,Hacker  Thomas,Rong  Chunming. ""A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means"" International journal of big data intelligence : 50-64.
"
,38.0,"Zhu  J ,Liu  A ,Chen  M ,Tasdizen  T ,Su  H . ""Special Issue on Biomedical Big Data: Understanding, Learning and Applications"" IEEE Transactions on Big Data : 375-377.
"
,39.0,"Qian  Chengcheng,Huang  Baoxiang,Yang  Xueqing,Chen  Ge. ""Data science for oceanography: from small data to big data"" Big earth data : 236-250.
"
,40.0,"Guo  Huadong,Hackmann  Heide,Gong  Ke. ""Big data in support of the Sustainable Development Goals: a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS)"" Big earth data : 259-262.
"
,41.0,"Guo  Huadong,Hackmann  Heide,Gong  Ke. ""Big data in support of the sustainable development goals (continued): a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS)"" Big earth data : 443-444.
"
,42.0,"Saide  Saide,Sheng  Margaret L . ""Toward Business Process Innovation in the Big Data Era: A Mediating Role of Big Data Knowledge Management"" Big Data : 464-477.
"
,43.0,"Geerdink  Bas. ""A reference architecture for big data solutions - introducing a model to perform predictive analytics using big data technology"" International journal of big data intelligence : 236-249.
"
,44.0,"Li  Xiao-Ming. ""Remotely sensed big data for the oceans and polar regions"" Big earth data : 141-143.
"
,45.0,"Du  Haizhou,Han  Ping,Xiang  Qiao,Huang  Sheng. ""MonkeyKing: Adaptive Parameter Tuning on Big Data Platforms with Deep Reinforcement Learning"" Big Data : 270-290.
"
,46.0,"Wang  Gai-Ge,Gao  Xiao-Zhi,Pei  Yan. ""Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare"" Big Data : 85-86.
"
,47.0,"Elnakat  Afamia,Gomez  Juan D ,Roberts  Jason,Wright  Martha. ""Big data analysis of swimming pools' impact on household electric intensity in San Antonio, Texas"" International journal of big data intelligence : 250-261.
"
,48.0," ""Correction to: Big Data 2016;4:60–66"" Big Data : 136-136.
"
,49.0,"Wang  Caili,Gao  Yuwen,Aziz  Asad,Ogunmola  Gabriel A . ""Agricultural Disaster Risk Management and Capability Assessment Using Big Data Analytics"" Big Data : 246-261.
"
,50.0," ""Strength in Numbers: Using Big Data to Simplify Sentiment Classification"" Big Data : 256-271.
"
,51.0," ""National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors"" Big Data : 219-229.
"
,52.0," ""Big Data As an Enabler of Primary Education"" Big Data : 137-140.
"
,53.0," ""Unsupervised Tensor Mining for Big Data Practitioners"" Big Data : 179-191.
"
,54.0,"Rallapalli  Sreekanth,Gondkar  R R . ""Big data ensemble clinical prediction for healthcare data by using deep learning model"" International journal of big data intelligence : 258-269.
"
,55.0,"Thakur  Santosh,Dharavath  Ramesh,Shankar  Achyut,Singh  Prabhishek,Diwakar  Manoj,Khosravi  Mohammad R . ""RST-DE: Rough Sets-Based New Differential Evolution Algorithm for Scalable Big Data Feature Selection in Distributed Computing Platforms"" Big Data : 356-367.
"
,56.0,"Balamurugan  S ,Muthu  Bala Anand,Peng  Sheng-Lung,Wahab  Mohd Helmy Abd. ""Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management"" Big Data : 450-451.
"
,57.0,"Nobanee  Haitham. ""Big Data in Business: A Bibliometric Analysis of Relevant Literature"" Big Data : 459-463.
"
,58.0,"Boulton  Geoffrey. ""The challenges of a Big Data Earth"" Big earth data : 1-7.
"
,59.0,"Win  T  Y ,Tianfield  H ,Mair  Q . ""Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing"" IEEE Transactions on Big Data : 11-25.
"
,60.0,"Bellandi  Valerio,Ceravolo  Paolo,Maghool  Samira,Siccardi  Stefano. ""Toward a General Framework for Multimodal Big Data Analysis"" Big Data : 408-424.
"
,61.0," ""An Exercise in Exploring Big Data for Producing Reliable Statistical Information"" Big Data : 120-128.
"
,62.0,"Jeon  Gwanggil,Bellandi  Valerio,Chehri  Abdellah,Damiani  Ernesto. ""Big Multimodal Data Analysis: Models and Performance Analysis"" Big Data : 369-370.
"
,63.0,"El-Latif  Ahmed A  Abd,Tawalbeh  Lo'ai,Maleh  Yassine,Saldamli  Gokay. ""Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity"" Big Data : 149-150.
"
,64.0," ""Call for Papers: Special Issue on Big Data in Robotics"" Big Data : 69-70.
"
,65.0,"Chang  Victor,Kacsuk  Péter,Wills  Gary,Behringer  Reinhold. ""Call for Special Issue Papers: Big Data and the Internet-of-Things in Complex Information Systems: Selections from IoTBDS 2022 and COMPLEXIS 2022"" Big Data : 93-94.
"
,66.0,"Menon  Varun G ,Verma  Sandeep,Kaur  Satnam,Sehdev  Paramjit S . ""Internet of Things-Based Optimized Routing and Big Data Gathering System for Landslide Detection"" Big Data : 289-302.
"
,67.0,"Nobanee  Haitham. ""Call for Special Issue Papers: Big Data in Business"" Big Data : 215-215.
"
,68.0,"Carta  Silvio. ""Interview with Dr. Silvio Carta, Author of the Book Big Data, Code and the Discrete City (Routledge 2019)"" Big Data : 218-220.
"
,69.0,"Sahal  Radhya,Khafagy  Mohammed H ,Omara  Fatma A . ""SOOM: Sort-Based Optimizer for Big Data Multi-Query"" Big Data : 38-61.
"
,70.0,"Selvi  Ramar Senthamil,Valarmathi  Muniyappan Lakshapalam. ""Optimal Feature Selection for Big Data Classification: Firefly with Lion-Assisted Model"" Big Data : 125-146.
"
,71.0,"Ravuri  Vasavi,Vasundra  S . ""Moth-Flame Optimization-Bat Optimization: Map-Reduce Framework for Big Data Clustering Using the Moth-Flame Bat Optimization and Sparse Fuzzy C-Means"" Big Data : 203-217.
"
,72.0,"Upadhyay  Utsav,Sikka  Geeta. ""MRS-DP: Improving Performance and Resource Utilization of Big Data Applications with Deadlines and Priorities"" Big Data : 323-331.
"
,73.0,"Raghav  R  Srinivasa,Thirugnanasambandam  Kalaipriyan,Varadarajan  Vijayakumar,Vairavasundaram  Subramaniyaswamy,Ravi  Logesh. ""Artificial Bee Colony Reinforced Extended Kalman Filter Localization Algorithm in Internet of Things with Big Data Blending Technique for Finding the Accurate Position of Reference Nodes"" Big Data : 186-203.
"
,74.0,"Tarka  Piotr,Jędrych  Elżbieta. ""On the Unstructured Big Data Analytical Methods in Firms: Conceptual Model, Measurement, and Perception"" Big Data : 478-500.
"
,75.0," ""Call for Papers: Special Issue on Big Data in Robotics"" Big Data : 1-2.
"
,76.0," ""Combining Human Computing and Machine Learning to Make Sense of Big (Aerial) Data for Disaster Response"" Big Data : 47-59.
"
,77.0," ""Big Data Literature Search"" Big Data : 230-232.
"
,78.0," ""Why Big Data = Big Deal"" Big Data : 55-56.
"
,79.0,"Moturi  Christopher A ,Okemwa  Vincent O ,Orwa  Daniel O . ""Big data analytics capability for digital transformation in the insurance sector"" International journal of big data management : 42-59.
"
,80.0,"Nobanee  Haitham. ""Call for Special Issue Papers: Big Data in Business"" Big Data : 1-1.
"
,81.0," ""Labor Economists Get Their Microscope: Big Data and Labor Market Analysis"" Big Data : 130-137.
"
,82.0," ""TV Audience Measurement with Big Data"" Big Data : 76-86.
"
,83.0,"Verdu  Elena,Nieto  Yuri Vanessa,Saleem  Nasir. ""Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT"" Big Data : 413-414.
"
,84.0,"Sahal  Radhya,Khafagy  Mohammed H ,Omara  Fatma A . ""Exploiting Reused-Based Sharing Work Opportunities in Big Data Multiquery Optimization with Flink"" Big Data : 454-479.
"
,85.0,"Anaraki  Farhad Pourkamali,Hariri-Ardebili  M  Amin,Becker  Stephen,Raissi  Maziar. ""Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering"" Big Data : 409-410.
"
,86.0," ""Big Data and the Rise of Machines in Financial Markets"" Big Data : 65-67.
"
,87.0," ""Common Big Data Challenges and How to Overcome Them"" Big Data : 142-143.
"
,88.0," ""A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science"" Big Data : 155-163.
"
,89.0,"Jafari  Hossein,Li  Xiangfang,Qian  Lijun,Aved  Alexander J ,Kroecker  Timothy S . ""Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach"" International journal of big data intelligence : 177-190.
"
,90.0,"Al-Turjman  Fadi,Hamouda  Walaa,Mumtaz  Shahid. ""Call for Special Issue Papers: Programming Models and Algorithms for Big Data"" Big Data : 542-543.
"
,91.0,"Al-Turjman  Fadi,Hamouda  Walaa,Mumtaz  Shahid. ""Call for Special Issue Papers: Programming Models and Algorithms for Big Data"" Big Data : 454-455.
"
,92.0,"Balamurugan  S ,Muthu  Bala Anand,Peng  Sheng-Lung,Wahab  Mohd Helmy Abd. ""Call for Special Issue Papers: Big Data Analytics for Agricultural Disaster Management"" Big Data : 544-545.
"
,93.0,"Qu  Tengteng,Wang  Lizhe,Yu  Jian,Yan  Jining,Xu  Guilin,Li  Meng,Cheng  Chengqi,Hou  Kaihua,Chen  Bo. ""STGI：a spatio-temporal grid index model for marine big data"" Big earth data : 435-450.
"
,94.0," ""Big Data 2.0: Cataclysm or Catalyst?"" Big Data : 5-6.
"
,95.0,"Saeed  Fahad. ""Towards quantifying psychiatric diagnosis using machine learning algorithms and big fMRI data"" Big data analytics : 1-3.
"
,96.0,"Anaraki  Farhad Pourkamali,Hariri-Ardebili  M  Amin,Becker  Stephen,Raissi  Maziar. ""Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering"" Big Data : 326-327.
"
,97.0,"Huang  Yiyi,Lin  Tao,Zhang  Guoqin,Zhu  Yongguan,Zeng  Zhiwei,Ye  Hong. ""Spatial patterns of urban green space and its actual utilization status in China based on big data analysis"" Big earth data : 391-409.
"
,98.0,"Mihály  Szabolcs,Remetey-Fülöpp  Gábor,Kristóf  Dániel,Czinkóczky  Anna,Palya  Tamás,Pásztor  László,Rudan  Pál,Szabó  György,Zentai  László. ""Earth observation and geospatial big data management and engagement of stakeholders in Hungary to support the SDGs"" Big earth data : 306-351.
"
,99.0,"Kulmala  Markku,Lintunen  Anna,Ylivinkka  Ilona,Mukkala  Janne,Rantanen  Rosa,Kujansuu  Joni,Petäjä  Tuukka,Lappalainen  Hanna K . ""Atmospheric and ecosystem big data providing key contributions in reaching United Nations' Sustainable Development Goals"" Big earth data : 277-305.
"
,100.0," ""Curating Big Data Made Simple: Perspectives from Scientific Communities"" Big Data : 23-33.
"
,101.0,"Zhang  Jinson,Huang  Mao Lin. ""Data behaviours model for Big Data visual analytics"" International journal of big data intelligence : 1-17.
"
,,
,2.0,"Zhang  D ,He  T ,Lin  S ,Munir  S ,Stankovic  J  A . ""Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network"" IEEE Transactions on Big Data : 362-374.
"
,3.0,"Phinyomark  A ,Ibanez-Marcelo  E ,Petri  G . ""Resting-State fMRI Functional Connectivity: Big Data Preprocessing Pipelines and Topological Data Analysis"" IEEE Transactions on Big Data : 415-428.
"
,4.0," ""2017 Index IEEE Transactions on Big Data Vol. 3"" IEEE Transactions on Big Data : 1-7.
"
,5.0,"Yaji  Sharath,Neelima  B . ""Parallel computing for preserving privacy using k-anonymisation algorithms from big data"" International journal of big data intelligence : 191-200.
"
,6.0,"Cong  Y ,Liu  J ,Fan  B ,Zeng  P ,Yu  H ,Luo  J . ""Online Similarity Learning for Big Data with Overfitting"" IEEE Transactions on Big Data : 78-89.
"
,7.0,"Liu  Maoqing,Fard  Nasser,Sadeghzadeh  Keivan. ""Large-scale spectral clustering for managing big data in healthcare operations"" International journal of big data intelligence : 195-207.
"
,8.0,"Ke  Zuqiang,Park  Nohpill. ""Availability modelling and assurance for a big data computing"" International journal of big data intelligence : 113-128.
"
,9.0,"Wlodarczyk  Tomasz Wiktor,Hacker  Thomas J . ""Current trends in predictive analytics of big data"" International journal of big data intelligence : 172-180.
"
,10.0,"Sadasivam  G  Sudha,Subrahmanyam  Mutyala,Himachalam  Dasaraju,Pinnamaneni  Bhanu Prasad,Lakshme  S  Maha. ""Corporate governance fraud detection from annual reports using big data analytics"" International journal of big data intelligence : 51-60.
"
,11.0,"Alguliyev  Rasim M ,Aliguliyev  Ramiz M ,Abdullayeva  Fargana Jabbar. ""Hybridisation of classifiers for anomaly detection in big data"" International journal of big data intelligence : 11-19.
"
,12.0,"Tuarob  S ,Bhatia  S ,Mitra  P ,Giles  C  L . ""AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data"" IEEE Transactions on Big Data : 3-17.
"
,13.0,"Zhu  J  Y ,Sun  C ,Li  V  O . ""An Extended Spatio-Temporal Granger Causality Model for Air Quality Estimation with Heterogeneous Urban Big Data"" IEEE Transactions on Big Data : 307-319.
"
,14.0,"Zhu  Julie Yixuan,Tang  Bo,Li  Victor O K . ""A five-layer architecture for big data processing and analytics"" International journal of big data intelligence : 38-49.
"
,15.0,"Xing  E  P ,Ho  Q ,Dai  W ,Kim  J  K ,Wei  J ,Lee  S ,Zheng  X ,Xie  P ,Kumar  A ,Yu  Y . ""Petuum: A New Platform for Distributed Machine Learning on Big Data"" IEEE Transactions on Big Data : 49-67.
"
,16.0,"Larraondo  Pablo R ,Pringle  Sean,Guo  Jian,Antony  Joseph,Evans  Ben. ""GSio: A programmatic interface for delivering Big Earth data-as-a-service"" Big earth data : 173-190.
"
,17.0,"Nativi  Stefano,Mazzetti  Paolo,Craglia  Max. ""A view-based model of data-cube to support big earth data systems interoperability"" Big earth data : 75-99.
"
,18.0,"Guo  Huadong. ""Big Earth data: A new frontier in Earth and information sciences"" Big earth data : 4-20.
"
,19.0,"Merritt  Patrick,Bi  Haixia,Davis  Bradley,Windmill  Christopher,Xue  Yong. ""Big Earth Data: a comprehensive analysis of visualization analytics issues"" Big earth data : 321-350.
"
,20.0,"Yang  Chaowei,Yu  Manzhu,Li  Yun,Hu  Fei,Jiang  Yongyao,Liu  Qian,Sha  Dexuan,Xu  Mengchao,Gu  Juan. ""Big Earth data analytics: a survey"" Big earth data : 83-107.
"
,21.0,"Jia  Gensuo. ""The role of big Earth data in understanding climate change"" Big earth data : 91-93.
"
,22.0,"Lai  Chenggang,Shi  Xuan,Huang  Miaoqing. ""Efficient utilization of multi-core processors and many-core co-processors on supercomputer beacon for scalable geocomputation and geo-simulation over big earth data"" Big earth data : 65-85.
"
,23.0,"Gibb  Robert G ,Purss  Matthew B J ,Sabeur  Zoheir,Strobl  Peter,Qu  Tengteng. ""Global Reference Grids for Big Earth Data"" Big earth data : 251-255.
"
,24.0,"Zhu  Yunqiang. ""Geospatial semantics, ontology and knowledge graphs for Big Earth data"" Big earth data : 187-190.
"
,25.0,"Mohamed-Ghouse  Zaffar Sadiq,Desha  Cheryl,Rajabifard  Abbas,Blicavs  Michelle,Martin  Graeme. ""Evaluating the role of partnerships in increasing the use of big Earth data to support the Sustainable Development Goals: an Australian perspective"" Big earth data : 527-556.
"
,26.0,"Narock  Tom,Shepherd  Adam. ""Semantics all the way down: the Semantic Web and open science in big earth data"" Big earth data : 159-172.
"
,27.0,"Corbane  Christina,Pesaresi  Martino,Politis  Panagiotis,Syrris  Vasileios,Florczyk  Aneta J ,Soille  Pierre,Maffenini  Luca,Burger  Armin,Vasilev  Veselin,Rodriguez  Dario,Sabo  Filip,Dijkstra  Lewis,Kemper  Thomas. ""Big earth data analytics on Sentinel-1 and Landsat imagery in support to global human settlements mapping"" Big earth data : 118-144.
"
,28.0,"Yao  Xiaochuang,Li  Guoqing. ""Big spatial vector data management: a review"" Big earth data : 108-129.
"
,29.0,"Esch  T ,Üreyen  S ,Zeidler  J ,Metz–Marconcini  A ,Hirner  A ,Asamer  H ,Tum  M ,Böttcher  M ,Kuchar  S ,Svaton  V ,Marconcini  M . ""Exploiting big earth data from space – first experiences with the timescan processing chain"" Big earth data : 36-55.
"
,30.0,"Chen  Fang,Sun  Zhongchang. ""Big earth data for achieving the sustainable development goals in the belt and road region"" Big earth data : 1-2.
"
,31.0,"Amani  Meisam,Brisco  Brian,Afshar  Majid,Mirmazloumi  S  Mohammad,Mahdavi  Sahel,Mirzadeh  Sayyed Mohammad Javad,Huang  Weimin,Granger  Jean. ""A generalized supervised classification scheme to produce provincial wetland inventory maps: an application of Google Earth Engine for big geo data processing"" Big earth data : 378-394.
"
,32.0,"Lock  Oliver,Bednarz  Tomasz,Pettit  Christopher. ""The visual analytics of big, open public transport data – a framework and pipeline for monitoring system performance in Greater Sydney"" Big earth data : 134-159.
"
,33.0,"Tang  Xinyu,Yao  Xiaochuang,Liu  Diyou,Zhao  Long,Li  Li,Zhu  Dehai,Li  Guoqing. ""A Ceph-based storage strategy for big gridded remote sensing data"" Big earth data : 323-339.
"
,34.0,"Guo  Huadong. ""Big Earth data facilitates sustainable development goals"" Big earth data : 1-2.
"
,35.0,"Li  Songnian,Wachowicz  Monica,Fan  Hongchao. ""Analytics of big geosocial media and crowdsourced data"" Big earth data : 1-4.
"
,36.0,"Wang  Lizhe,Yan  Jining. ""Stewardship and analysis of big Earth observation data"" Big earth data : 349-352.
"
,37.0,"Guo  Huadong,Liang  Dong,Chen  Fang,Shirazi  Zeeshan. ""Innovative approaches to the Sustainable Development Goals using Big Earth Data"" Big earth data : 263-276.
"
,38.0,"Guo  Xinyu,Chen  Xu. ""Impact of WeChat public platforms on blood donation behavior: a big data-based study"" Industrial Management & Data Systems : 983-1001.
"
,39.0,"Mahani  A  S ,Sharabiani  M  T . ""SIMD parallel MCMC sampling with applications for big-data Bayesian analytics"" Computational statistics & data analysis : 75-99.
"
,40.0,"Han  Zhongmei,Wu  Jiyi,Huang  Changqin,Huang  Qionghao,Zhao  Meihua. ""A review on sentiment discovery and analysis of educational big‐data"" WIREs Data Mining and Knowledge Discovery : n/a-n.
"
,41.0,"Lakshmi  J V N . ""Data analysis on big data: improving the map and shuffle phases in Hadoop Map Reduce"" International Journal of Data Analysis Techniques and Strategies : 305-316.
"
,42.0,"Mohd Selamat  Siti Aishah,Prakoonwit  Simant,Sahandi  Reza,Khan  Wajid,Ramachandran  Manoharan. ""Big data analytics—A review of data‐mining models for small and medium enterprises in the transportation sector"" WIREs Data Mining and Knowledge Discovery : n/a-n.
"
,43.0,"Mohd Selamat  Siti Aishah,Prakoonwit  Simant,Sahandi  Reza,Khan  Wajid,Ramachandran  Manoharan. ""Big data analytics—a review of data‐mining models for small and medium enterprises in the transportation sector"" WIREs Data Mining and Knowledge Discovery : NA.
"
,44.0," ""Big, Bigger, Biggest: Data repositories balloon to unprecedented levels. Coping with ``Big Data.''"" Health Data Management : 34.
"
,45.0,"Isaac Triguero,Diego García‐Gil,Jesús Maillo,Julián Luengo,Salvador García,Francisco Herrera. ""Transforming big data into smart data: An insight on the use of the k‐nearest neighbors algorithm to obtain quality data"" WIREs Data Mining and Knowledge Discovery : n/a-n/a.
"
,46.0,"Cuzzocrea  A . ""Semantics Meets Big Data: Formal Models, Practical Issues, Novel Paradigms"" Journal on Data Semantics : 1-2.
"
,47.0,"Hassani  H ,Silva  E  S . ""Forecasting with Big Data: A Review"" ANNALS OF DATA SCIENCE : 5-19.
"
,48.0,"Guo  Yue,Yu  Lean,Ding  Yichuan,C  Coelho  Leandro. ""Guest editorial: Big data-driven analytics for smart cities: technology-based insight"" Industrial Management & Data Systems : 2145-2150.
"
,49.0,"Liu  Yang,Fang  Wei,Feng  Taiwen,Gao  Na. ""Bolstering green supply chain integration via big data analytics capability: the moderating role of data-driven decision culture"" Industrial Management & Data Systems : 2558-2582.
"
,50.0,"Chen  Lanjue,Zhou  Yong. ""Quantile regression in big data: A divide and conquer based strategy"" Computational statistics & data analysis
"
,51.0,"Rashmi Malhotra,D  K  Malhotra. ""The Impact of Technology, Big Data, and Analytics: The Evolving Data-Driven Model of Innovation in the Finance Industry"" The Journal of financial data science : 50-65.
"
,52.0,"Comuzzi  Marco,Patel  Anit. ""How organisations leverage Big Data: a maturity model"" Industrial Management & Data Systems : 1468-1492.
"
,53.0,"Jimichi  Masayuki,Miyamoto  Daisuke,Saka  Chika,Nagata  Shuichi. ""Visualization and statistical modeling of financial big data: double-log modeling with skew-symmetric error distributions"" Japanese Journal of Statistics and Data Science : 347-371.
"
,54.0," ""Big Data Improves Care"" Health Data Management : 56-56.
"
,55.0," ""Big Data doesn't always yield big benefits"" Health Data Management : 60-60.
"
,56.0,"Faheem  Muhammad,Fizza  Ghulam,Ashraf  Muhammad Waqar,Butt  Rizwan Aslam,Ngadi  Md  Asri,Gungor  Vehbi Cagri. ""Big Data acquired by Internet of Things-enabled industrial multichannel wireless sensors networks for active monitoring and control in the smart grid Industry 4.0"" Data in Brief
"
,57.0,"Pramanik  M I ,Lau  Raymond Y K ,Yue  Wei T ,Ye  Yunming,Li  Chunping. ""Big data analytics for security and criminal investigations"" WIREs Data Mining and Knowledge Discovery : NA.
"
,58.0,"McCormick  T H ,Ferrell  R ,Karr  A F ,Ryan  P B . ""Big data, big results: Knowledge discovery in output from large?scale analytics"" Statistical Analysis and Data Mining : 404-412.
"
,59.0,"Pramanik  M I ,Lau  Raymond Y K ,Yue  Wei T ,Ye  Yunming,Li  Chunping. ""Big data analytics for security and criminal investigations"" WIREs Data Mining and Knowledge Discovery : n/a-n.
"
,60.0,"Jennex   Murray E . ""Big Data, the Internet of Things, and the Revised Knowledge Pyramid"" Data Base for Advances in Information Systems : 69-79.
"
,61.0,"Shan Suthaharan. ""Big data analytics: Machine learning and Bayesian learning perspectives—What is done? What is not?"" WIREs Data Mining and Knowledge Discovery : n/a-n/a.
"
,62.0,"Irene Aldridge. ""Big Data in Portfolio Allocation: A New Approach to Successful Portfolio Optimization"" The Journal of financial data science : 45-63.
"
,63.0,"Cheng  Shi,Zhang  Qingyu,Qin  Quande. ""Big data analytics with swarm intelligence"" Industrial Management & Data Systems : 646-666.
"
,64.0,"Luo  Shuai,Liu  Hongwei,Qi  Ershi. ""Big data analytics – enabled cyber-physical system: model and applications"" Industrial Management & Data Systems : 1072-1088.
"
